Username,Rank,Damage/Round,K/D Ratio,Headshot %,Win %,Wins,KAST,DDΔ/Round,Kills,Deaths,Assists,ACS,KAD Ratio,Kills/Round,First Bloods,Flawless Rounds,Aces
ImDaMinh#7777,Ascendant 1,140.5,1.08,22.5%,53.3%,32,73.8%,11,950,883,402,209.4,1.53,0.7,68,42,1
Nikkodinho#HAN,Ascendant 2,164.4,1.08,32.3%,52.3%,80,71.3%,11,"2,762","2,562",742,248.7,1.37,0.9,486,121,8
Ngốn Lào#Kezin,Ascendant 2,144.0,1.03,22.3%,48.8%,124,72.6%,7,"4,015","3,891","1,435",218.3,1.40,0.8,469,188,5
Một Mẩu#1803,Diamond 2,114.1,0.83,30.9%,51.8%,57,72.2%,-26,"1,406","1,703",807,173.5,1.30,0.6,97,93,0
itsmetrucc#uno,Ascendant 1,146.7,1.02,25.8%,48.0%,47,71.3%,3,"1,621","1,595",462,223.9,1.31,0.8,265,71,1
K1N#gnouh,Ascendant 1,151.1,1.13,21.2%,50.5%,107,75.1%,21,"3,471","3,059","1,495",223.8,1.62,0.8,340,179,6
Virus#LAJV,Ascendant 1,122.5,0.77,19.4%,50.7%,69,67.8%,-27,"1,766","2,281",677,182.5,1.07,0.6,279,111,4
CủXuHào#1310,Diamond 1,140.6,0.96,30.8%,46.2%,54,68.7%,-7,"1,833","1,916",530,211.7,1.23,0.7,282,87,2
Sáu Số 0#MINZ,Ascendant 1,140.5,0.94,26.7%,38.5%,35,67.8%,-5,"1,424","1,515",465,210.6,1.25,0.7,191,78,5
depressed#noom,Gold 1,162.4,1.13,27.0%,57.1%,16,72.0%,21,489,434,151,243.9,1.47,0.8,70,26,3
